_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
{'$oid': '5ff5d1d80a7214ada10005f6'},100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609945560000},{'$date': 1609945560000},{'$date': 1609945560000},{'$date': 1609945560000},{'$date': 1609945560000},225.0,{'$date': 1609653600000},5.0,FINISHED,25.0,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d19d0a7214ada10005ec'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1609945501000},{'$date': 1609945501000},{'$date': 1609945502000},{'$date': 1609945502000},{'$date': 1609945502000},50.0,{'$date': 1609859101000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '5ff5d1f20a720f05230005db'},5.0,All-receipts receipt bonus,{'$date': 1609945586000},{'$date': 1609945586000},{'$date': 1609945587000},{'$date': 1609945587000},{'$date': 1609945587000},5.0,{'$date': 1609859186000},4.0,FINISHED,18.2,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1dc0a720f05230005d6'},5.0,All-receipts receipt bonus,{'$date': 1609945564000},{'$date': 1609945564000},{'$date': 1609945564000},{'$date': 1609945564000},{'$date': 1609945564000},5.0,{'$date': 1609859164000},1.0,FINISHED,1.0,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1dd0a720f05230005d7'},,,{'$date': 1609945565000},{'$date': 1609945565000},{'$date': 1609945566000},{'$date': 1609945566000},{'$date': 1609945566000},250.0,{'$date': 1609653600000},5.0,FINISHED,49.95,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1a30a7214ada10005ef'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609945507000},{'$date': 1609945507000},{'$date': 1609945508000},{'$date': 1609945508000},{'$date': 1609945508000},755.0,{'$date': 1609859107000},1.0,FINISHED,1.0,5ff5d1a38f142f11dd1886ba
{'$oid': '5ff5d20c0a720f05230005e3'},5.0,All-receipts receipt bonus,{'$date': 1609945612000},{'$date': 1609945612000},{'$date': 1609945613000},{'$date': 1609945613000},{'$date': 1609945613000},305.0,{'$date': 1609859212000},4.0,FINISHED,4.66,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1fa0a720f05230005dd'},27.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1609945594000},{'$date': 1609945594000},{'$date': 1609945594000},{'$date': 1609945594000},{'$date': 1609945594000},350.6,{'$date': 1609859194000},4.0,FINISHED,4.66,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1d80a7214ada10005f7'},,,{'$date': 1609945560000},{'$date': 1609945560000},{'$date': 1609945561000},{'$date': 1609945561000},{'$date': 1609945561000},125.0,{'$date': 1609480800000},5.0,FINISHED,25.0,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1f40a720f05230005dc'},5.0,All-receipts receipt bonus,{'$date': 1609945588000},{'$date': 1609945588000},{'$date': 1609945589000},{'$date': 1609945589000},{'$date': 1609945589000},305.0,{'$date': 1608595200000},10.0,FINISHED,10.0,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d2060a720f05230005e0'},,,{'$date': 1609945606000},{'$date': 1609945606000},{'$date': 1609945606000},{'$date': 1609945606000},{'$date': 1609945606000},50.0,{'$date': 1609859206000},1.0,FINISHED,9.99,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff618e30a7214ada10005fa'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609963747000},{'$date': 1609963747000},{'$date': 1609963782000},{'$date': 1609963785000},{'$date': 1609963782000},793.1,{'$date': 1609891200000},16.0,FINISHED,52.12,5ff616a68f142f11dd189163
{'$oid': '5ff5d2060a720f05230005e1'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1609945606000},{'$date': 1609945606000},{'$date': 1609945607000},{'$date': 1609945607000},{'$date': 1609945607000},100.0,{'$date': 1609945606000},1.0,FINISHED,0.99,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1df0a720f05230005d8'},5.0,All-receipts receipt bonus,{'$date': 1609945567000},{'$date': 1609945567000},{'$date': 1609945568000},{'$date': 1609945568000},{'$date': 1609945568000},5.0,{'$date': 1609653600000},5.0,FINISHED,49.95,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1990a7214ada10005ea'},5.0,All-receipts receipt bonus,{'$date': 1609945497000},{'$date': 1609945497000},{'$date': 1609945498000},{'$date': 1609945498000},{'$date': 1609945498000},5.0,{'$date': 1608822297000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '5ff5d1d00a7214ada10005f2'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609945552000},{'$date': 1609945552000},{'$date': 1609945553000},{'$date': 1609945553000},{'$date': 1609945553000},1800.0,{'$date': 1609945552000},1.0,FINISHED,10.0,5ff5d1d08f142f11dd18884c
